id,name,nps_code,latitude,longitude,biome,established,area_acres,summary
1,"Grand Canyon National Park",grca,36.1069,-112.1129,desert,1919,1217262,"Marvel at one of the world's natural wonders, carved by the Colorado River over millions of years. The Grand Canyon offers breathtaking vistas and geological history spanning nearly 2 billion years."
2,"Yellowstone National Park",yell,44.4280,-110.5885,temperate_forest,1872,2219791,"America's first national park features geysers, hot springs, and diverse wildlife including grizzly bears, wolves, and bison roaming across a volcanic wonderland."
3,"Yosemite National Park",yose,37.8651,-119.5383,temperate_forest,1890,759620,"Discover towering granite cliffs, giant sequoias, and spectacular waterfalls in California's Sierra Nevada mountains, inspiring visitors for over 150 years."
4,"Great Smoky Mountains National Park",grsm,35.6131,-83.5532,temperate_forest,1934,522427,"Explore America's most visited national park, home to ancient mountains, diverse plant life, and remnants of Southern Appalachian mountain culture."
5,"Zion National Park",zion,37.2982,-113.0263,desert,1919,147243,"Journey through massive sandstone cliffs of cream, pink, and red that soar into a brilliant blue sky in Utah's first national park."
6,"Rocky Mountain National Park",romo,40.3428,-105.6836,alpine,1915,265807,"Experience spectacular mountain environments with over 300 miles of trails, wildflower meadows, and stunning views of the Continental Divide."
7,"Acadia National Park",acad,44.3386,-68.2733,temperate_forest,1919,49076,"Enjoy the rugged beauty of Maine's Atlantic coast, featuring rocky beaches, glacier-scoured granite peaks, and the tallest mountain on the eastern seaboard."
8,"Everglades National Park",ever,25.2866,-80.8987,wetland,1947,1508976,"Protect the largest tropical wilderness in the United States, home to rare and endangered species like manatees, crocodiles, and Florida panthers."
9,"Olympic National Park",olym,47.9692,-123.4989,temperate_rainforest,1938,922649,"Discover diverse ecosystems from glacier-capped mountains to temperate rainforests and over 70 miles of wild Pacific coastline."
10,"Arches National Park",arch,38.7331,-109.5925,desert,1971,76679,"Explore a red rock wonderland featuring over 2,000 natural stone arches, pinnacles, and balanced rocks formed by millions of years of erosion."